MeetingID,SubjectID,LecturerID,MeetingType,MeetingPrice,MeetingPriceForOthers,StartTime,EndTime,LanguageID,TranslatorID
39,94,613,1,150.0000,300.0000,2021-04-16 11:00:00.000,2021-04-16 14:00:00.000,1,
40,94,613,1,150.0000,300.0000,2021-05-28 11:00:00.000,2021-05-28 14:00:00.000,1,
41,94,613,1,150.0000,300.0000,2021-06-11 11:00:00.000,2021-06-11 14:00:00.000,1,
42,94,613,1,150.0000,300.0000,2021-06-25 11:00:00.000,2021-06-25 14:00:00.000,1,
43,95,960,1,170.0000,290.0000,2021-03-05 16:00:00.000,2021-03-05 18:00:00.000,1,
44,95,960,1,170.0000,290.0000,2021-03-19 16:00:00.000,2021-03-19 18:00:00.000,1,
45,95,960,1,170.0000,290.0000,2021-04-02 16:00:00.000,2021-04-02 18:00:00.000,1,
46,95,960,1,170.0000,290.0000,2021-04-16 16:00:00.000,2021-04-16 18:00:00.000,1,
47,95,960,1,170.0000,290.0000,2021-05-28 16:00:00.000,2021-05-28 18:00:00.000,1,
48,95,908,3,170.0000,290.0000,2021-06-11 16:00:00.000,2021-06-11 18:00:00.000,1,
49,95,960,1,170.0000,290.0000,2021-06-25 16:00:00.000,2021-06-25 18:00:00.000,1,
50,96,881,1,60.0000,90.0000,2021-03-06 09:00:00.000,2021-03-06 11:00:00.000,1,
51,96,619,1,60.0000,90.0000,2021-03-20 09:00:00.000,2021-03-20 11:00:00.000,1,
52,96,619,1,60.0000,90.0000,2021-04-03 09:00:00.000,2021-04-03 11:00:00.000,1,
53,96,619,1,60.0000,90.0000,2021-04-17 09:00:00.000,2021-04-17 11:00:00.000,1,
54,96,619,1,60.0000,90.0000,2021-05-29 09:00:00.000,2021-05-29 11:00:00.000,1,
55,96,619,1,60.0000,90.0000,2021-06-12 09:00:00.000,2021-06-12 11:00:00.000,1,
56,96,619,1,60.0000,90.0000,2021-06-26 09:00:00.000,2021-06-26 11:00:00.000,1,
57,97,495,1,75.0000,135.0000,2021-03-06 12:00:00.000,2021-03-06 13:00:00.000,1,
58,97,495,1,75.0000,135.0000,2021-03-20 12:00:00.000,2021-03-20 13:00:00.000,1,
59,97,495,1,75.0000,135.0000,2021-04-03 12:00:00.000,2021-04-03 13:00:00.000,1,
60,97,495,1,75.0000,135.0000,2021-04-17 12:00:00.000,2021-04-17 13:00:00.000,1,
61,97,495,1,75.0000,135.0000,2021-05-29 12:00:00.000,2021-05-29 13:00:00.000,1,
62,97,495,1,75.0000,135.0000,2021-06-12 12:00:00.000,2021-06-12 13:00:00.000,1,
63,97,495,1,75.0000,135.0000,2021-06-26 12:00:00.000,2021-06-26 13:00:00.000,1,
64,98,881,3,145.0000,230.0000,2021-03-07 15:00:00.000,2021-03-07 17:00:00.000,1,
65,98,881,3,145.0000,230.0000,2021-03-21 15:00:00.000,2021-03-21 17:00:00.000,1,
66,98,881,3,145.0000,230.0000,2021-04-04 15:00:00.000,2021-04-04 17:00:00.000,1,
67,98,881,3,145.0000,230.0000,2021-04-18 15:00:00.000,2021-04-18 17:00:00.000,1,
68,98,881,3,145.0000,230.0000,2021-05-30 15:00:00.000,2021-05-30 17:00:00.000,1,
69,98,881,3,145.0000,230.0000,2021-06-13 15:00:00.000,2021-06-13 17:00:00.000,1,
70,98,881,3,145.0000,230.0000,2021-06-27 15:00:00.000,2021-06-27 17:00:00.000,1,
71,99,881,1,75.0000,115.0000,2021-10-01 10:00:00.000,2021-10-01 11:00:00.000,1,
72,99,881,1,75.0000,115.0000,2021-10-15 10:00:00.000,2021-10-15 11:00:00.000,1,
73,99,881,1,75.0000,115.0000,2022-02-04 10:00:00.000,2022-02-04 11:00:00.000,1,
74,99,881,1,75.0000,115.0000,2022-01-21 10:00:00.000,2022-01-21 11:00:00.000,1,
75,99,881,1,75.0000,115.0000,2021-11-26 10:00:00.000,2021-11-26 11:00:00.000,1,
76,99,881,1,75.0000,115.0000,2021-12-10 10:00:00.000,2021-12-10 11:00:00.000,1,
77,99,881,1,75.0000,115.0000,2022-01-07 10:00:00.000,2022-01-07 11:00:00.000,1,
78,100,908,1,115.0000,140.0000,2021-10-01 14:00:00.000,2021-10-01 17:00:00.000,1,
79,100,908,1,115.0000,140.0000,2021-10-15 14:00:00.000,2021-10-15 17:00:00.000,1,
80,100,908,1,115.0000,140.0000,2022-02-04 14:00:00.000,2022-02-04 17:00:00.000,1,
81,100,908,1,115.0000,140.0000,2022-01-21 14:00:00.000,2022-01-21 17:00:00.000,1,
82,100,908,1,115.0000,140.0000,2021-11-26 14:00:00.000,2021-11-26 17:00:00.000,1,
83,100,908,1,115.0000,140.0000,2021-12-10 14:00:00.000,2021-12-10 17:00:00.000,1,
84,100,908,1,115.0000,140.0000,2022-01-07 14:00:00.000,2022-01-07 17:00:00.000,1,
85,101,625,1,170.0000,285.0000,2021-10-02 09:00:00.000,2021-10-02 10:00:00.000,1,
86,101,625,1,170.0000,285.0000,2021-10-16 09:00:00.000,2021-10-16 10:00:00.000,1,
87,101,625,1,170.0000,285.0000,2022-02-05 09:00:00.000,2022-02-05 10:00:00.000,1,
88,101,625,1,170.0000,285.0000,2022-01-22 09:00:00.000,2022-01-22 10:00:00.000,1,
89,101,625,1,170.0000,285.0000,2021-11-27 09:00:00.000,2021-11-27 10:00:00.000,1,
90,101,625,1,170.0000,285.0000,2021-12-11 09:00:00.000,2021-12-11 10:00:00.000,1,
91,101,28,3,170.0000,285.0000,2022-01-08 09:00:00.000,2022-01-08 10:00:00.000,1,
92,102,619,1,150.0000,265.0000,2021-10-02 10:30:00.000,2021-10-02 12:30:00.000,1,
93,102,619,1,150.0000,265.0000,2021-10-16 10:30:00.000,2021-10-16 12:30:00.000,1,
94,102,619,1,150.0000,265.0000,2022-02-05 10:30:00.000,2022-02-05 12:30:00.000,1,
95,102,619,1,150.0000,265.0000,2022-01-22 10:30:00.000,2022-01-22 12:30:00.000,1,
96,102,619,1,150.0000,265.0000,2021-11-27 10:30:00.000,2021-11-27 12:30:00.000,1,
97,102,619,1,150.0000,265.0000,2021-12-11 10:30:00.000,2021-12-11 12:30:00.000,1,
98,102,619,1,150.0000,265.0000,2022-01-08 10:30:00.000,2022-01-08 12:30:00.000,1,
99,103,619,1,185.0000,235.0000,2021-10-03 11:00:00.000,2021-10-03 14:00:00.000,1,
100,103,619,1,185.0000,235.0000,2021-10-17 11:00:00.000,2021-10-17 14:00:00.000,1,
101,103,619,1,185.0000,235.0000,2022-02-06 11:00:00.000,2022-02-06 14:00:00.000,1,
102,103,619,1,185.0000,235.0000,2022-01-23 11:00:00.000,2022-01-23 14:00:00.000,1,
103,103,619,1,185.0000,235.0000,2021-11-28 11:00:00.000,2021-11-28 14:00:00.000,1,
104,103,619,1,185.0000,235.0000,2021-12-12 11:00:00.000,2021-12-12 14:00:00.000,1,
105,103,619,1,185.0000,235.0000,2022-01-09 11:00:00.000,2022-01-09 14:00:00.000,1,
106,104,881,1,170.0000,275.0000,2022-03-04 09:30:00.000,2022-03-04 10:30:00.000,1,
107,104,881,1,170.0000,275.0000,2022-03-18 09:30:00.000,2022-03-18 10:30:00.000,1,
108,104,881,1,170.0000,275.0000,2022-04-01 09:30:00.000,2022-04-01 10:30:00.000,1,
109,104,881,1,170.0000,275.0000,2022-04-15 09:30:00.000,2022-04-15 10:30:00.000,1,
110,104,881,1,170.0000,275.0000,2022-05-27 09:30:00.000,2022-05-27 10:30:00.000,1,
111,104,881,1,170.0000,275.0000,2022-06-10 09:30:00.000,2022-06-10 10:30:00.000,1,
112,104,881,1,170.0000,275.0000,2022-06-24 09:30:00.000,2022-06-24 10:30:00.000,1,
113,105,1009,1,195.0000,310.0000,2022-03-04 12:00:00.000,2022-03-04 16:00:00.000,1,
114,105,1009,1,195.0000,310.0000,2022-03-18 12:00:00.000,2022-03-18 16:00:00.000,1,
115,105,1009,1,195.0000,310.0000,2022-04-01 12:00:00.000,2022-04-01 16:00:00.000,1,
116,105,1009,1,195.0000,310.0000,2022-04-15 12:00:00.000,2022-04-15 16:00:00.000,1,
117,105,1009,1,195.0000,310.0000,2022-05-27 12:00:00.000,2022-05-27 16:00:00.000,1,
118,105,1009,1,195.0000,310.0000,2022-06-10 12:00:00.000,2022-06-10 16:00:00.000,1,
119,105,1009,1,195.0000,310.0000,2022-06-24 12:00:00.000,2022-06-24 16:00:00.000,1,
120,106,625,1,55.0000,100.0000,2022-03-05 10:00:00.000,2022-03-05 12:00:00.000,1,
121,106,625,1,55.0000,100.0000,2022-03-19 10:00:00.000,2022-03-19 12:00:00.000,1,
122,106,625,1,55.0000,100.0000,2022-04-02 10:00:00.000,2022-04-02 12:00:00.000,1,
123,106,625,1,55.0000,100.0000,2022-04-16 10:00:00.000,2022-04-16 12:00:00.000,1,
124,106,625,1,55.0000,100.0000,2022-05-28 10:00:00.000,2022-05-28 12:00:00.000,1,
125,106,625,3,55.0000,100.0000,2022-06-11 10:00:00.000,2022-06-11 12:00:00.000,1,
126,106,625,1,55.0000,100.0000,2022-06-25 10:00:00.000,2022-06-25 12:00:00.000,1,
127,107,300,1,140.0000,200.0000,2022-03-05 13:00:00.000,2022-03-05 15:00:00.000,1,
128,107,300,1,140.0000,200.0000,2022-03-19 13:00:00.000,2022-03-19 15:00:00.000,1,
129,107,300,1,140.0000,200.0000,2022-04-02 13:00:00.000,2022-04-02 15:00:00.000,1,
130,107,300,1,140.0000,200.0000,2022-04-16 13:00:00.000,2022-04-16 15:00:00.000,1,
131,107,300,1,140.0000,200.0000,2022-05-28 13:00:00.000,2022-05-28 15:00:00.000,1,
132,107,300,1,140.0000,200.0000,2022-06-11 13:00:00.000,2022-06-11 15:00:00.000,1,
133,107,300,1,140.0000,200.0000,2022-06-25 13:00:00.000,2022-06-25 15:00:00.000,1,
134,108,335,1,55.0000,85.0000,2022-03-06 12:00:00.000,2022-03-06 13:00:00.000,1,
135,108,335,1,55.0000,85.0000,2022-03-20 12:00:00.000,2022-03-20 13:00:00.000,1,
136,108,335,1,55.0000,85.0000,2022-04-03 12:00:00.000,2022-04-03 13:00:00.000,1,
137,108,335,1,55.0000,85.0000,2022-04-17 12:00:00.000,2022-04-17 13:00:00.000,1,
138,108,335,1,55.0000,85.0000,2022-05-29 12:00:00.000,2022-05-29 13:00:00.000,1,
139,108,335,1,55.0000,85.0000,2022-06-12 12:00:00.000,2022-06-12 13:00:00.000,1,
140,108,335,1,55.0000,85.0000,2022-06-26 12:00:00.000,2022-06-26 13:00:00.000,1,
141,109,1009,1,75.0000,125.0000,2022-10-07 08:00:00.000,2022-10-07 10:00:00.000,1,
142,109,1009,1,75.0000,125.0000,2022-10-21 08:00:00.000,2022-10-21 10:00:00.000,1,
143,109,1009,1,75.0000,125.0000,2023-02-10 08:00:00.000,2023-02-10 10:00:00.000,1,
144,109,1009,1,75.0000,125.0000,2023-01-27 08:00:00.000,2023-01-27 10:00:00.000,1,
145,109,1009,1,75.0000,125.0000,2022-12-02 08:00:00.000,2022-12-02 10:00:00.000,1,
146,109,1009,1,75.0000,125.0000,2022-12-16 08:00:00.000,2022-12-16 10:00:00.000,1,
147,109,1009,1,75.0000,125.0000,2023-01-13 08:00:00.000,2023-01-13 10:00:00.000,1,
148,110,625,3,150.0000,180.0000,2022-10-07 12:00:00.000,2022-10-07 15:00:00.000,1,
149,110,335,3,150.0000,180.0000,2022-10-21 12:00:00.000,2022-10-21 15:00:00.000,1,
150,110,625,3,150.0000,180.0000,2023-02-10 12:00:00.000,2023-02-10 15:00:00.000,1,
151,110,625,3,150.0000,180.0000,2023-01-27 12:00:00.000,2023-01-27 15:00:00.000,1,
152,110,625,3,150.0000,180.0000,2022-12-02 12:00:00.000,2022-12-02 15:00:00.000,1,
153,110,625,3,150.0000,180.0000,2022-12-16 12:00:00.000,2022-12-16 15:00:00.000,1,
154,110,625,3,150.0000,180.0000,2023-01-13 12:00:00.000,2023-01-13 15:00:00.000,1,
155,111,881,1,180.0000,280.0000,2022-10-08 13:00:00.000,2022-10-08 14:00:00.000,1,
156,111,881,1,180.0000,280.0000,2022-10-22 13:00:00.000,2022-10-22 14:00:00.000,1,
157,111,881,1,180.0000,280.0000,2023-02-11 13:00:00.000,2023-02-11 14:00:00.000,1,
158,111,881,1,180.0000,280.0000,2023-01-28 13:00:00.000,2023-01-28 14:00:00.000,1,
159,111,881,1,180.0000,280.0000,2022-12-03 13:00:00.000,2022-12-03 14:00:00.000,1,
160,111,881,1,180.0000,280.0000,2022-12-17 13:00:00.000,2022-12-17 14:00:00.000,1,
161,111,881,1,180.0000,280.0000,2023-01-14 13:00:00.000,2023-01-14 14:00:00.000,1,
162,112,495,1,140.0000,255.0000,2022-10-08 15:00:00.000,2022-10-08 17:00:00.000,1,
163,112,495,1,140.0000,255.0000,2022-10-22 15:00:00.000,2022-10-22 17:00:00.000,1,
164,112,495,1,140.0000,255.0000,2023-02-11 15:00:00.000,2023-02-11 17:00:00.000,1,
165,112,495,1,140.0000,255.0000,2023-01-28 15:00:00.000,2023-01-28 17:00:00.000,1,
166,112,495,1,140.0000,255.0000,2022-12-03 15:00:00.000,2022-12-03 17:00:00.000,1,
167,112,495,1,140.0000,255.0000,2022-12-17 15:00:00.000,2022-12-17 17:00:00.000,1,
168,112,495,1,140.0000,255.0000,2023-01-14 15:00:00.000,2023-01-14 17:00:00.000,1,
169,113,279,1,55.0000,80.0000,2022-10-09 16:00:00.000,2022-10-09 18:00:00.000,1,
170,113,279,1,55.0000,80.0000,2022-10-23 16:00:00.000,2022-10-23 18:00:00.000,1,
171,113,279,1,55.0000,80.0000,2023-02-12 16:00:00.000,2023-02-12 18:00:00.000,1,
172,113,279,1,55.0000,80.0000,2023-01-29 16:00:00.000,2023-01-29 18:00:00.000,1,
173,113,279,1,55.0000,80.0000,2022-12-04 16:00:00.000,2022-12-04 18:00:00.000,1,
174,113,279,1,55.0000,80.0000,2022-12-18 16:00:00.000,2022-12-18 18:00:00.000,1,
175,113,279,1,55.0000,80.0000,2023-01-15 16:00:00.000,2023-01-15 18:00:00.000,1,
176,114,1009,1,115.0000,165.0000,2023-03-10 09:30:00.000,2023-03-10 13:30:00.000,1,
177,114,1009,1,115.0000,165.0000,2023-03-24 09:30:00.000,2023-03-24 13:30:00.000,1,
178,114,1009,1,115.0000,165.0000,2023-04-07 09:30:00.000,2023-04-07 13:30:00.000,1,
179,114,1009,1,115.0000,165.0000,2023-04-21 09:30:00.000,2023-04-21 13:30:00.000,1,
180,114,1009,3,115.0000,165.0000,2023-06-02 09:30:00.000,2023-06-02 13:30:00.000,1,
181,114,1009,1,115.0000,165.0000,2023-05-05 09:30:00.000,2023-05-05 13:30:00.000,1,
182,114,1009,1,115.0000,165.0000,2023-06-30 09:30:00.000,2023-06-30 13:30:00.000,1,
183,115,625,1,85.0000,130.0000,2023-03-10 15:00:00.000,2023-03-10 16:00:00.000,1,
184,115,625,1,85.0000,130.0000,2023-03-24 15:00:00.000,2023-03-24 16:00:00.000,1,
185,115,625,1,85.0000,130.0000,2023-04-07 15:00:00.000,2023-04-07 16:00:00.000,1,
186,115,625,1,85.0000,130.0000,2023-04-21 15:00:00.000,2023-04-21 16:00:00.000,1,
187,115,625,1,85.0000,130.0000,2023-06-02 15:00:00.000,2023-06-02 16:00:00.000,1,
188,115,625,1,85.0000,130.0000,2023-05-05 15:00:00.000,2023-05-05 16:00:00.000,1,
189,115,625,1,85.0000,130.0000,2023-06-30 15:00:00.000,2023-06-30 16:00:00.000,1,
190,116,854,1,180.0000,270.0000,2023-03-11 14:00:00.000,2023-03-11 15:00:00.000,1,
191,116,854,1,180.0000,270.0000,2023-03-25 14:00:00.000,2023-03-25 15:00:00.000,1,
192,116,854,1,180.0000,270.0000,2023-04-08 14:00:00.000,2023-04-08 15:00:00.000,1,
193,116,854,1,180.0000,270.0000,2023-04-22 14:00:00.000,2023-04-22 15:00:00.000,1,
194,116,854,1,180.0000,270.0000,2023-06-03 14:00:00.000,2023-06-03 15:00:00.000,1,
195,116,854,1,180.0000,270.0000,2023-05-06 14:00:00.000,2023-05-06 15:00:00.000,1,
196,116,854,1,180.0000,270.0000,2023-07-01 14:00:00.000,2023-07-01 15:00:00.000,1,
197,117,1009,1,150.0000,275.0000,2023-03-11 16:30:00.000,2023-03-11 19:30:00.000,1,
198,117,1009,1,150.0000,275.0000,2023-03-25 16:30:00.000,2023-03-25 19:30:00.000,1,
199,117,1009,1,150.0000,275.0000,2023-04-08 16:30:00.000,2023-04-08 19:30:00.000,1,
200,117,1009,1,150.0000,275.0000,2023-04-22 16:30:00.000,2023-04-22 19:30:00.000,1,
201,117,1009,1,150.0000,275.0000,2023-06-03 16:30:00.000,2023-06-03 19:30:00.000,1,
202,117,1009,1,150.0000,275.0000,2023-05-06 16:30:00.000,2023-05-06 19:30:00.000,1,
203,117,1009,3,150.0000,275.0000,2023-07-01 16:30:00.000,2023-07-01 19:30:00.000,1,
204,147,673,1,85.0000,165.0000,2020-10-02 09:00:00.000,2020-10-02 10:00:00.000,1,
205,147,673,1,85.0000,165.0000,2020-10-16 09:00:00.000,2020-10-16 10:00:00.000,1,
206,147,673,1,85.0000,165.0000,2020-10-30 09:00:00.000,2020-10-30 10:00:00.000,1,
207,147,673,1,85.0000,165.0000,2021-01-22 09:00:00.000,2021-01-22 10:00:00.000,1,
208,147,673,1,85.0000,165.0000,2020-11-27 09:00:00.000,2020-11-27 10:00:00.000,1,
209,147,673,1,85.0000,165.0000,2020-12-11 09:00:00.000,2020-12-11 10:00:00.000,1,
210,147,673,1,85.0000,165.0000,2021-01-08 09:00:00.000,2021-01-08 10:00:00.000,1,
211,148,932,1,180.0000,235.0000,2020-10-02 11:00:00.000,2020-10-02 14:00:00.000,1,
212,148,932,1,180.0000,235.0000,2020-10-16 11:00:00.000,2020-10-16 14:00:00.000,1,
213,148,932,1,180.0000,235.0000,2020-10-30 11:00:00.000,2020-10-30 14:00:00.000,1,
214,148,932,1,180.0000,235.0000,2021-01-22 11:00:00.000,2021-01-22 14:00:00.000,1,
215,148,932,1,180.0000,235.0000,2020-11-27 11:00:00.000,2020-11-27 14:00:00.000,1,
216,148,932,1,180.0000,235.0000,2020-12-11 11:00:00.000,2020-12-11 14:00:00.000,1,
217,148,932,3,180.0000,235.0000,2021-01-08 13:00:00.000,2021-01-08 17:00:00.000,1,
218,149,167,1,120.0000,195.0000,2020-10-03 10:00:00.000,2020-10-03 12:00:00.000,1,
219,149,167,1,120.0000,195.0000,2020-10-17 10:00:00.000,2020-10-17 12:00:00.000,1,
220,149,167,1,120.0000,195.0000,2020-10-31 10:00:00.000,2020-10-31 12:00:00.000,1,
221,149,167,1,120.0000,195.0000,2021-01-23 10:00:00.000,2021-01-23 12:00:00.000,1,
222,149,167,1,120.0000,195.0000,2020-11-28 10:00:00.000,2020-11-28 12:00:00.000,1,
223,149,167,1,120.0000,195.0000,2020-12-12 10:00:00.000,2020-12-12 12:00:00.000,1,
224,149,167,1,120.0000,195.0000,2021-01-09 10:00:00.000,2021-01-09 12:00:00.000,1,
225,150,1072,1,100.0000,185.0000,2020-10-03 14:00:00.000,2020-10-03 15:00:00.000,1,
226,150,1072,1,100.0000,185.0000,2020-10-17 14:00:00.000,2020-10-17 15:00:00.000,1,
227,150,1072,1,100.0000,185.0000,2020-10-31 14:00:00.000,2020-10-31 15:00:00.000,1,
228,150,1072,1,100.0000,185.0000,2021-01-23 14:00:00.000,2021-01-23 15:00:00.000,1,
229,150,1072,1,100.0000,185.0000,2020-11-28 14:00:00.000,2020-11-28 15:00:00.000,1,
230,150,1072,1,100.0000,185.0000,2020-12-12 14:00:00.000,2020-12-12 15:00:00.000,1,
231,150,1072,1,100.0000,185.0000,2021-01-09 14:00:00.000,2021-01-09 15:00:00.000,1,
232,151,692,1,155.0000,250.0000,2020-10-04 10:00:00.000,2020-10-04 13:00:00.000,1,
233,151,692,1,155.0000,250.0000,2020-10-18 10:00:00.000,2020-10-18 13:00:00.000,1,
234,151,692,1,155.0000,250.0000,2020-11-01 10:00:00.000,2020-11-01 13:00:00.000,1,
235,151,692,1,155.0000,250.0000,2021-01-24 10:00:00.000,2021-01-24 13:00:00.000,1,
236,151,692,1,155.0000,250.0000,2020-11-29 10:00:00.000,2020-11-29 13:00:00.000,1,
237,151,692,1,155.0000,250.0000,2020-12-13 10:00:00.000,2020-12-13 13:00:00.000,1,
238,151,692,1,155.0000,250.0000,2021-01-10 10:00:00.000,2021-01-10 13:00:00.000,1,
239,152,932,3,140.0000,240.0000,2021-03-05 10:00:00.000,2021-03-05 11:00:00.000,1,
240,152,932,3,140.0000,240.0000,2021-03-19 10:00:00.000,2021-03-19 11:00:00.000,1,
241,152,932,3,140.0000,240.0000,2021-04-02 10:00:00.000,2021-04-02 11:00:00.000,1,
242,152,932,3,140.0000,240.0000,2021-04-16 10:00:00.000,2021-04-16 11:00:00.000,1,
243,152,932,3,140.0000,240.0000,2021-05-28 10:00:00.000,2021-05-28 11:00:00.000,1,
244,152,932,3,140.0000,240.0000,2021-06-11 10:00:00.000,2021-06-11 11:00:00.000,1,
245,152,932,3,140.0000,240.0000,2021-06-25 10:00:00.000,2021-06-25 11:00:00.000,1,
246,153,167,1,140.0000,275.0000,2021-03-05 12:00:00.000,2021-03-05 16:00:00.000,1,
247,153,167,1,140.0000,275.0000,2021-03-19 12:00:00.000,2021-03-19 16:00:00.000,1,
248,153,167,1,140.0000,275.0000,2021-04-02 12:00:00.000,2021-04-02 16:00:00.000,1,
249,153,167,1,140.0000,275.0000,2021-04-16 12:00:00.000,2021-04-16 16:00:00.000,1,
250,153,167,1,140.0000,275.0000,2021-05-28 12:00:00.000,2021-05-28 16:00:00.000,1,
251,153,167,1,140.0000,275.0000,2021-06-11 12:00:00.000,2021-06-11 16:00:00.000,1,
252,153,167,1,140.0000,275.0000,2021-06-25 12:00:00.000,2021-06-25 16:00:00.000,1,
253,154,1072,1,160.0000,255.0000,2021-03-06 12:00:00.000,2021-03-06 13:00:00.000,1,
254,154,1072,1,160.0000,255.0000,2021-03-20 12:00:00.000,2021-03-20 13:00:00.000,1,
255,154,1072,1,160.0000,255.0000,2021-04-03 12:00:00.000,2021-04-03 13:00:00.000,1,
256,154,1072,1,160.0000,255.0000,2021-04-17 12:00:00.000,2021-04-17 13:00:00.000,1,
257,154,1072,1,160.0000,255.0000,2021-05-29 12:00:00.000,2021-05-29 13:00:00.000,1,
258,154,1072,1,160.0000,255.0000,2021-06-12 12:00:00.000,2021-06-12 13:00:00.000,1,
259,154,1072,1,160.0000,255.0000,2021-06-26 12:00:00.000,2021-06-26 13:00:00.000,1,
260,155,692,1,170.0000,245.0000,2021-03-06 13:30:00.000,2021-03-06 15:30:00.000,1,
261,155,692,3,170.0000,245.0000,2021-03-20 13:30:00.000,2021-03-20 15:30:00.000,1,
262,155,692,1,170.0000,245.0000,2021-04-03 13:30:00.000,2021-04-03 15:30:00.000,1,
263,155,692,1,170.0000,245.0000,2021-04-17 13:30:00.000,2021-04-17 15:30:00.000,1,
264,155,692,1,170.0000,245.0000,2021-05-29 13:30:00.000,2021-05-29 15:30:00.000,1,
265,155,692,1,170.0000,245.0000,2021-06-12 13:30:00.000,2021-06-12 15:30:00.000,1,
266,155,692,1,170.0000,245.0000,2021-06-26 13:30:00.000,2021-06-26 15:30:00.000,1,
267,156,437,1,195.0000,330.0000,2021-03-07 11:00:00.000,2021-03-07 13:00:00.000,1,
268,156,437,1,195.0000,330.0000,2021-03-21 11:00:00.000,2021-03-21 13:00:00.000,1,
269,156,437,1,195.0000,330.0000,2021-04-04 11:00:00.000,2021-04-04 13:00:00.000,1,
270,156,437,1,195.0000,330.0000,2021-04-18 11:00:00.000,2021-04-18 13:00:00.000,1,
