ModuleID,CourseID,ModuleName,ModuleType,LecturerID,LanguageID,TranslatorID
56,9,Moduł 7 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',3,511,1,
57,9,Moduł 8 kursu 'Ekonomia: Wprowadzenie do Makro i Mikroekonomii',4,741,1,
58,10,Moduł 1 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',3,776,1,
59,10,Moduł 2 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',2,160,8,320
60,10,Moduł 3 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',1,11,8,277
61,10,Moduł 4 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',2,1047,1,
62,10,Moduł 5 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',1,11,1,
63,10,Moduł 6 kursu 'Tworzenie Aplikacji SPA: Single Page Applications',3,370,1,
64,11,Moduł 1 kursu 'Tworzenie Aplikacji Finansowych: Bloomberg i Reuters',3,143,1,
65,11,Moduł 2 kursu 'Tworzenie Aplikacji Finansowych: Bloomberg i Reuters',4,11,1,
66,11,Moduł 3 kursu 'Tworzenie Aplikacji Finansowych: Bloomberg i Reuters',3,765,1,
67,11,Moduł 4 kursu 'Tworzenie Aplikacji Finansowych: Bloomberg i Reuters',4,192,1,
68,11,Moduł 5 kursu 'Tworzenie Aplikacji Finansowych: Bloomberg i Reuters',1,192,8,320
69,12,Moduł 1 kursu 'Tworzenie Aplikacji w Elixirze',3,143,1,
70,12,Moduł 2 kursu 'Tworzenie Aplikacji w Elixirze',2,11,7,469
71,12,Moduł 3 kursu 'Tworzenie Aplikacji w Elixirze',3,840,7,1058
72,12,Moduł 4 kursu 'Tworzenie Aplikacji w Elixirze',2,1019,1,
73,12,Moduł 5 kursu 'Tworzenie Aplikacji w Elixirze',3,903,3,708
74,13,Moduł 1 kursu 'Informatyka Zdrowotna: Technologie Medyczne',2,956,6,806
75,13,Moduł 2 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,1047,1,
76,13,Moduł 3 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,94,6,340
77,13,Moduł 4 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,918,1,
78,13,Moduł 5 kursu 'Informatyka Zdrowotna: Technologie Medyczne',1,1047,1,
79,13,Moduł 6 kursu 'Informatyka Zdrowotna: Technologie Medyczne',3,135,1,
80,13,Moduł 7 kursu 'Informatyka Zdrowotna: Technologie Medyczne',2,307,2,138
81,14,Moduł 1 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,767,1,
82,14,Moduł 2 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,720,1,
83,14,Moduł 3 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,257,1,
84,14,Moduł 4 kursu 'Inżynieria Chemiczna: Procesy i Materiały',3,482,3,708
85,14,Moduł 5 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,1,1,
86,14,Moduł 6 kursu 'Inżynieria Chemiczna: Procesy i Materiały',1,363,1,
87,14,Moduł 7 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,266,1,
88,14,Moduł 8 kursu 'Inżynieria Chemiczna: Procesy i Materiały',2,423,6,340
89,15,Moduł 1 kursu 'Tworzenie Aplikacji 2D: GIMP i Inkscape',4,588,8,901
90,15,Moduł 2 kursu 'Tworzenie Aplikacji 2D: GIMP i Inkscape',2,248,6,336
91,15,Moduł 3 kursu 'Tworzenie Aplikacji 2D: GIMP i Inkscape',2,1118,4,35
92,15,Moduł 4 kursu 'Tworzenie Aplikacji 2D: GIMP i Inkscape',4,866,8,901
93,15,Moduł 5 kursu 'Tworzenie Aplikacji 2D: GIMP i Inkscape',4,492,1,
94,16,Moduł 1 kursu 'Analiza Rynków Finansowych',3,1111,5,1042
95,16,Moduł 2 kursu 'Analiza Rynków Finansowych',1,192,1,
96,16,Moduł 3 kursu 'Analiza Rynków Finansowych',3,688,1,
97,16,Moduł 4 kursu 'Analiza Rynków Finansowych',1,192,1,
98,16,Moduł 5 kursu 'Analiza Rynków Finansowych',2,1166,1,
99,17,Moduł 1 kursu 'Wirtualna Rzeczywistość: Tworzenie Światów',2,370,1,
100,17,Moduł 2 kursu 'Wirtualna Rzeczywistość: Tworzenie Światów',1,588,1,
101,17,Moduł 3 kursu 'Wirtualna Rzeczywistość: Tworzenie Światów',3,623,1,
102,17,Moduł 4 kursu 'Wirtualna Rzeczywistość: Tworzenie Światów',1,492,1,
103,18,Moduł 1 kursu 'Oceanografia: Eksploracja Oceanów',4,902,1,
104,18,Moduł 2 kursu 'Oceanografia: Eksploracja Oceanów',3,1104,8,277
105,18,Moduł 3 kursu 'Oceanografia: Eksploracja Oceanów',1,96,1,
106,18,Moduł 4 kursu 'Oceanografia: Eksploracja Oceanów',3,1047,1,
107,18,Moduł 5 kursu 'Oceanografia: Eksploracja Oceanów',4,96,1,
108,18,Moduł 6 kursu 'Oceanografia: Eksploracja Oceanów',2,148,5,670
109,18,Moduł 7 kursu 'Oceanografia: Eksploracja Oceanów',2,623,1,
110,18,Moduł 8 kursu 'Oceanografia: Eksploracja Oceanów',1,776,1,
111,19,Moduł 1 kursu 'Biochemia: Podstawy Życia',3,319,1,
112,19,Moduł 2 kursu 'Biochemia: Podstawy Życia',3,423,1,
113,19,Moduł 3 kursu 'Biochemia: Podstawy Życia',2,1111,1,
114,20,Moduł 1 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',2,192,1,
115,20,Moduł 2 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',3,143,1,
116,20,Moduł 3 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',4,143,1,
117,20,Moduł 4 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',2,1019,1,
118,20,Moduł 5 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',3,623,1,
119,20,Moduł 6 kursu 'Tworzenie Aplikacji Edukacyjnych: Moodle i Blackboard',1,8,1,
120,21,Moduł 1 kursu 'Sztuczna Inteligencja: Wprowadzenie',2,710,1,
121,21,Moduł 2 kursu 'Sztuczna Inteligencja: Wprowadzenie',4,319,1,
122,21,Moduł 3 kursu 'Sztuczna Inteligencja: Wprowadzenie',1,257,1,
123,21,Moduł 4 kursu 'Sztuczna Inteligencja: Wprowadzenie',2,415,1,
124,21,Moduł 5 kursu 'Sztuczna Inteligencja: Wprowadzenie',2,866,1,
125,21,Moduł 6 kursu 'Sztuczna Inteligencja: Wprowadzenie',1,319,1,
126,22,Moduł 1 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',4,135,1,
127,22,Moduł 2 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',2,688,1,
128,22,Moduł 3 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',1,1092,1,
129,22,Moduł 4 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',1,432,2,451
130,22,Moduł 5 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',4,432,1,
131,22,Moduł 6 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',1,87,1,
132,22,Moduł 7 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',4,1,1,
133,22,Moduł 8 kursu 'Bankowość Elektroniczna: Systemy i Bezpieczeństwo',2,471,1,
134,23,Moduł 1 kursu 'Kubernetes dla Początkujących',3,415,1,
135,23,Moduł 2 kursu 'Kubernetes dla Początkujących',3,432,1,
136,23,Moduł 3 kursu 'Kubernetes dla Początkujących',3,248,6,336
137,23,Moduł 4 kursu 'Kubernetes dla Początkujących',2,936,2,591
138,23,Moduł 5 kursu 'Kubernetes dla Początkujących',2,363,2,138
139,23,Moduł 6 kursu 'Kubernetes dla Początkujących',2,840,9,714
140,23,Moduł 7 kursu 'Kubernetes dla Początkujących',1,325,1,
141,24,Moduł 1 kursu 'Finanse Osobiste: Jak Planować Budżet',4,936,9,763
142,24,Moduł 2 kursu 'Finanse Osobiste: Jak Planować Budżet',1,936,1,
143,24,Moduł 3 kursu 'Finanse Osobiste: Jak Planować Budżet',1,160,1,
144,25,Moduł 1 kursu 'Dietetyka: Zdrowe Żywienie',1,391,1,
145,25,Moduł 2 kursu 'Dietetyka: Zdrowe Żywienie',4,307,1,
146,25,Moduł 3 kursu 'Dietetyka: Zdrowe Żywienie',2,1019,1,
147,26,Moduł 1 kursu 'Programowanie Reaktywne: Akka i RxJava',2,160,1,
148,26,Moduł 2 kursu 'Programowanie Reaktywne: Akka i RxJava',1,1,1,
149,26,Moduł 3 kursu 'Programowanie Reaktywne: Akka i RxJava',3,432,2,514
150,26,Moduł 4 kursu 'Programowanie Reaktywne: Akka i RxJava',4,1,1,
151,27,Moduł 1 kursu 'Druk 3D dla Początkujących',2,363,1,
152,27,Moduł 2 kursu 'Druk 3D dla Początkujących',1,765,1,
153,27,Moduł 3 kursu 'Druk 3D dla Początkujących',3,623,1,
154,27,Moduł 4 kursu 'Druk 3D dla Początkujących',1,87,1,
155,27,Moduł 5 kursu 'Druk 3D dla Początkujących',4,1092,1,
156,27,Moduł 6 kursu 'Druk 3D dla Początkujących',3,1,1,
157,27,Moduł 7 kursu 'Druk 3D dla Początkujących',4,87,1,
158,28,Moduł 1 kursu 'Informatyka Zdrowotna: Technologie Medyczne',1,1092,1,
159,28,Moduł 2 kursu 'Informatyka Zdrowotna: Technologie Medyczne',3,588,9,946
160,28,Moduł 3 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,1,4,750
161,28,Moduł 4 kursu 'Informatyka Zdrowotna: Technologie Medyczne',1,567,1,
162,28,Moduł 5 kursu 'Informatyka Zdrowotna: Technologie Medyczne',1,135,4,750
163,28,Moduł 6 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,1,1,
164,28,Moduł 7 kursu 'Informatyka Zdrowotna: Technologie Medyczne',4,1092,9,946
165,29,Moduł 1 kursu 'Tworzenie Aplikacji Voice-first: Voice-first Design',2,87,1,
166,29,Moduł 2 kursu 'Tworzenie Aplikacji Voice-first: Voice-first Design',1,767,9,763
167,29,Moduł 3 kursu 'Tworzenie Aplikacji Voice-first: Voice-first Design',3,918,1,
168,29,Moduł 4 kursu 'Tworzenie Aplikacji Voice-first: Voice-first Design',2,494,1,
169,30,Moduł 1 kursu 'Programowanie Logiczne: Prolog i Lisp',2,688,10,205
170,30,Moduł 2 kursu 'Programowanie Logiczne: Prolog i Lisp',3,143,1,
171,30,Moduł 3 kursu 'Programowanie Logiczne: Prolog i Lisp',3,363,1,
172,31,Moduł 1 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',3,96,1,
173,31,Moduł 2 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',2,741,6,340
174,31,Moduł 3 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',4,325,1,
175,31,Moduł 4 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',2,772,1,
176,31,Moduł 5 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',4,112,1,
177,32,Moduł 1 kursu 'Architektura: Teoria i Praktyka',1,471,8,901
178,32,Moduł 2 kursu 'Architektura: Teoria i Praktyka',4,588,2,485
179,32,Moduł 3 kursu 'Architektura: Teoria i Praktyka',3,1019,6,806
180,32,Moduł 4 kursu 'Architektura: Teoria i Praktyka',4,471,1,
181,32,Moduł 5 kursu 'Architektura: Teoria i Praktyka',3,72,1,
182,32,Moduł 6 kursu 'Architektura: Teoria i Praktyka',1,588,1,
183,32,Moduł 7 kursu 'Architektura: Teoria i Praktyka',3,1,9,763
184,33,Moduł 1 kursu 'Zaawansowany Haskell',2,511,1,
185,33,Moduł 2 kursu 'Zaawansowany Haskell',3,877,1,
186,33,Moduł 3 kursu 'Zaawansowany Haskell',3,1,2,514
187,33,Moduł 4 kursu 'Zaawansowany Haskell',2,588,2,451
188,33,Moduł 5 kursu 'Zaawansowany Haskell',1,192,8,320
189,34,Moduł 1 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',1,96,1,
190,34,Moduł 2 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',1,96,1,
191,34,Moduł 3 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',2,432,1,
192,34,Moduł 4 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',3,741,1,
193,34,Moduł 5 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',2,307,1,
194,34,Moduł 6 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',3,866,1,
195,34,Moduł 7 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',2,839,1,
196,34,Moduł 8 kursu 'Docker: Tworzenie i Zarządzanie Kontenerami',2,96,1,
197,35,Moduł 1 kursu 'Genetyka: Dziedziczenie i DNA',1,1019,1,
198,35,Moduł 2 kursu 'Genetyka: Dziedziczenie i DNA',3,8,3,708
199,35,Moduł 3 kursu 'Genetyka: Dziedziczenie i DNA',4,588,8,901
200,35,Moduł 4 kursu 'Genetyka: Dziedziczenie i DNA',2,325,6,340
201,35,Moduł 5 kursu 'Genetyka: Dziedziczenie i DNA',4,471,1,
202,35,Moduł 6 kursu 'Genetyka: Dziedziczenie i DNA',1,839,1,
203,35,Moduł 7 kursu 'Genetyka: Dziedziczenie i DNA',4,471,1,
204,36,Moduł 1 kursu 'Nauka o Danych: Od Teorii do Praktyki',1,561,1,
205,36,Moduł 2 kursu 'Nauka o Danych: Od Teorii do Praktyki',1,623,1,
206,36,Moduł 3 kursu 'Nauka o Danych: Od Teorii do Praktyki',2,307,1,
207,37,Moduł 1 kursu 'Terapia Zajęciowa: Przywracanie Funkcjonalności',2,772,1,
208,37,Moduł 2 kursu 'Terapia Zajęciowa: Przywracanie Funkcjonalności',3,11,1,
209,37,Moduł 3 kursu 'Terapia Zajęciowa: Przywracanie Funkcjonalności',1,148,1,
210,37,Moduł 4 kursu 'Terapia Zajęciowa: Przywracanie Funkcjonalności',3,936,1,
211,37,Moduł 5 kursu 'Terapia Zajęciowa: Przywracanie Funkcjonalności',1,148,10,993
212,38,Moduł 1 kursu 'Filozofia: Wprowadzenie do Myślenia Krytycznego',3,87,1,
213,38,Moduł 2 kursu 'Filozofia: Wprowadzenie do Myślenia Krytycznego',2,866,2,349
214,38,Moduł 3 kursu 'Filozofia: Wprowadzenie do Myślenia Krytycznego',1,391,1,
215,39,Moduł 1 kursu 'Finanse Osobiste: Jak Planować Budżet',3,135,1,
216,39,Moduł 2 kursu 'Finanse Osobiste: Jak Planować Budżet',2,112,1,
217,39,Moduł 3 kursu 'Finanse Osobiste: Jak Planować Budżet',3,1104,5,753
218,39,Moduł 4 kursu 'Finanse Osobiste: Jak Planować Budżet',3,877,1,
219,40,Moduł 1 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',4,902,10,165
220,40,Moduł 2 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',1,565,1,
221,40,Moduł 3 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',1,96,1,
222,40,Moduł 4 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',2,143,8,320
223,40,Moduł 5 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',1,776,1,
224,40,Moduł 6 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',2,623,1,
225,40,Moduł 7 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',2,877,1,
226,40,Moduł 8 kursu 'Tworzenie Aplikacji Biznesowych: Business Applications',3,956,1,
227,41,Moduł 1 kursu 'Sztuka: Wprowadzenie do Technik',2,956,1,
228,41,Moduł 2 kursu 'Sztuka: Wprowadzenie do Technik',1,363,1,
229,41,Moduł 3 kursu 'Sztuka: Wprowadzenie do Technik',4,423,1,
230,41,Moduł 4 kursu 'Sztuka: Wprowadzenie do Technik',2,902,10,165
231,41,Moduł 5 kursu 'Sztuka: Wprowadzenie do Technik',3,765,1,
232,41,Moduł 6 kursu 'Sztuka: Wprowadzenie do Technik',3,808,2,349
233,42,Moduł 1 kursu 'Kurs Python dla Początkujących',1,707,1,
234,42,Moduł 2 kursu 'Kurs Python dla Początkujących',2,1142,1,
235,42,Moduł 3 kursu 'Kurs Python dla Początkujących',2,135,4,663
236,43,Moduł 1 kursu 'Oceanografia: Eksploracja Oceanów',4,565,1,
237,43,Moduł 2 kursu 'Oceanografia: Eksploracja Oceanów',1,902,1,
238,43,Moduł 3 kursu 'Oceanografia: Eksploracja Oceanów',1,565,1,
239,43,Moduł 4 kursu 'Oceanografia: Eksploracja Oceanów',3,8,1,
240,43,Moduł 5 kursu 'Oceanografia: Eksploracja Oceanów',3,135,1,
241,43,Moduł 6 kursu 'Oceanografia: Eksploracja Oceanów',3,257,1,
242,43,Moduł 7 kursu 'Oceanografia: Eksploracja Oceanów',4,96,1,
243,44,Moduł 1 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',2,8,1,
244,44,Moduł 2 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',3,688,1,
245,44,Moduł 3 kursu 'Tworzenie Aplikacji AI: TensorFlow i PyTorch',3,877,1,
246,45,Moduł 1 kursu 'Kryptowaluty: Handel i Inwestowanie',4,148,1,
247,45,Moduł 2 kursu 'Kryptowaluty: Handel i Inwestowanie',4,148,2,632
248,45,Moduł 3 kursu 'Kryptowaluty: Handel i Inwestowanie',2,678,7,1058
249,45,Moduł 4 kursu 'Kryptowaluty: Handel i Inwestowanie',1,266,1,
250,46,Moduł 1 kursu 'Socjologia: Zrozumieć Społeczeństwo',1,772,7,836
251,46,Moduł 2 kursu 'Socjologia: Zrozumieć Społeczeństwo',4,94,1,
252,46,Moduł 3 kursu 'Socjologia: Zrozumieć Społeczeństwo',4,129,6,340
253,46,Moduł 4 kursu 'Socjologia: Zrozumieć Społeczeństwo',1,129,7,836
254,46,Moduł 5 kursu 'Socjologia: Zrozumieć Społeczeństwo',2,482,1,
255,46,Moduł 6 kursu 'Socjologia: Zrozumieć Społeczeństwo',4,129,2,349
256,47,Moduł 1 kursu 'E-commerce: Zarządzanie Sklepem Online',4,710,1,
257,47,Moduł 2 kursu 'E-commerce: Zarządzanie Sklepem Online',4,410,1,
258,47,Moduł 3 kursu 'E-commerce: Zarządzanie Sklepem Online',3,370,1,
259,47,Moduł 4 kursu 'E-commerce: Zarządzanie Sklepem Online',2,8,1,
260,47,Moduł 5 kursu 'E-commerce: Zarządzanie Sklepem Online',3,319,1,
261,47,Moduł 6 kursu 'E-commerce: Zarządzanie Sklepem Online',1,877,1,
262,47,Moduł 7 kursu 'E-commerce: Zarządzanie Sklepem Online',4,410,2,138
263,47,Moduł 8 kursu 'E-commerce: Zarządzanie Sklepem Online',4,410,3,781
264,48,"Moduł 1 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",2,325,1,
265,48,"Moduł 2 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",2,8,2,514
266,48,"Moduł 3 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",1,902,10,165
267,48,"Moduł 4 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",4,776,10,165
268,48,"Moduł 5 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",4,902,1,
269,48,"Moduł 6 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",2,1092,1,
270,48,"Moduł 7 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",2,1047,1,
271,48,"Moduł 8 kursu 'Zarządzanie Inwestycjami: Akcje, Obligacje, ETF-y'",4,776,10,165
272,49,Moduł 1 kursu 'Tworzenie Aplikacji Chmurowych: AWS i Azure',4,72,2,486
273,49,Moduł 2 kursu 'Tworzenie Aplikacji Chmurowych: AWS i Azure',3,956,1,
274,49,Moduł 3 kursu 'Tworzenie Aplikacji Chmurowych: AWS i Azure',2,112,1,
275,49,Moduł 4 kursu 'Tworzenie Aplikacji Chmurowych: AWS i Azure',1,423,1,
276,49,Moduł 5 kursu 'Tworzenie Aplikacji Chmurowych: AWS i Azure',3,8,1,
277,50,Moduł 1 kursu 'Zarządzanie Opieką Zdrowotną',3,707,4,750
278,50,Moduł 2 kursu 'Zarządzanie Opieką Zdrowotną',1,135,1,
279,50,Moduł 3 kursu 'Zarządzanie Opieką Zdrowotną',3,936,5,732
280,51,Moduł 1 kursu 'Oceanografia: Eksploracja Oceanów',1,87,1,
281,51,Moduł 2 kursu 'Oceanografia: Eksploracja Oceanów',3,1,1,
282,51,Moduł 3 kursu 'Oceanografia: Eksploracja Oceanów',1,87,1,
283,52,Moduł 1 kursu 'Programowanie Obiektowe: Java i Python',1,94,6,340
284,52,Moduł 2 kursu 'Programowanie Obiektowe: Java i Python',1,370,1,
285,52,Moduł 3 kursu 'Programowanie Obiektowe: Java i Python',2,623,1,
286,52,Moduł 4 kursu 'Programowanie Obiektowe: Java i Python',4,772,1,
287,52,Moduł 5 kursu 'Programowanie Obiektowe: Java i Python',3,1142,1,
288,52,Moduł 6 kursu 'Programowanie Obiektowe: Java i Python',1,370,6,340
289,52,Moduł 7 kursu 'Programowanie Obiektowe: Java i Python',4,1047,2,349
290,52,Moduł 8 kursu 'Programowanie Obiektowe: Java i Python',4,918,1,
291,53,Moduł 1 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',3,776,4,35
292,53,Moduł 2 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',3,567,9,946
293,53,Moduł 3 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',3,492,1,
294,53,Moduł 4 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',1,112,1,
295,53,Moduł 5 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',3,839,1,
296,53,Moduł 6 kursu 'Inżynieria Kosmiczna: Projektowanie Satelitów',1,112,1,
297,54,Moduł 1 kursu 'Tworzenie Aplikacji w Elixirze',1,135,2,451
298,54,Moduł 2 kursu 'Tworzenie Aplikacji w Elixirze',3,415,1,
299,54,Moduł 3 kursu 'Tworzenie Aplikacji w Elixirze',1,1,1,
300,54,Moduł 4 kursu 'Tworzenie Aplikacji w Elixirze',1,511,2,451
301,54,Moduł 5 kursu 'Tworzenie Aplikacji w Elixirze',3,143,1,
302,54,Moduł 6 kursu 'Tworzenie Aplikacji w Elixirze',2,902,1,
303,54,Moduł 7 kursu 'Tworzenie Aplikacji w Elixirze',4,511,1,
304,55,Moduł 1 kursu 'Tworzenie Aplikacji Monolitycznych: Legacy Systems',1,370,1,
305,55,Moduł 2 kursu 'Tworzenie Aplikacji Monolitycznych: Legacy Systems',3,410,1,
306,55,Moduł 3 kursu 'Tworzenie Aplikacji Monolitycznych: Legacy Systems',2,363,1,
307,55,Moduł 4 kursu 'Tworzenie Aplikacji Monolitycznych: Legacy Systems',4,129,1,
