WebinarID,WebinarName,WebinarDescription,TeacherID,Price,LanguageID,TranslatorID,StartDate,EndDate,VideoLink,MeetingLink
34,Transformacja Cyfrowa,Nasz strategiczny webinar 'transformacja cyfrowa'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,57.6500,1,,2021-01-14 21:00:00.000,2021-01-14 22:00:00.000,https://www.webinaries-videos.com/watch?v=Transformacja-Cyfrowa-34,https://meet.google.com/Transformacja-Cyfrowa-34
35,Zarzadzanie projektami spolecznymi,Nasz kompleksowy webinar 'zarzadzanie projektami spolecznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,1155,54.3000,1,,2021-01-14 21:15:00.000,2021-01-14 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-spolecznymi-35,https://meet.google.com/Zarzadzanie-projektami-spolecznymi-35
36,Zarzadzanie projektami przemyslowymi,Nasz skuteczny webinar 'zarzadzanie projektami przemyslowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,245,244.0000,2,632,2021-01-15 07:00:00.000,2021-01-15 09:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-przemyslowymi-36,https://meet.google.com/Zarzadzanie-projektami-przemyslowymi-36
37,Zarzadzanie projektami artystycznymi,Nasz zaawansowany webinar 'zarzadzanie projektami artystycznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,,4,663,2021-01-15 18:00:00.000,2021-01-15 20:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-artystycznymi-37,https://meet.google.com/Zarzadzanie-projektami-artystycznymi-37
38,Zarzadzanie projektami spolecznymi,Nasz kompleksowy webinar 'zarzadzanie projektami spolecznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,123.9500,1,,2021-01-16 11:00:00.000,2021-01-16 11:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-spolecznymi-38,https://meet.google.com/Zarzadzanie-projektami-spolecznymi-38
39,Zarzadzanie projektami przemyslowymi,Nasz innowacyjny webinar 'zarzadzanie projektami przemyslowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,155.6400,1,,2021-01-16 14:45:00.000,2021-01-16 15:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-przemyslowymi-39,https://meet.google.com/Zarzadzanie-projektami-przemyslowymi-39
40,Kreatywne rozwiazania w marketingu,Nasz kompleksowy webinar 'kreatywne rozwiazania w marketingu'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,514,228.5600,1,,2021-01-17 07:00:00.000,2021-01-17 08:00:00.000,https://www.webinaries-videos.com/watch?v=Kreatywne-rozwiazania-w-marketingu-40,https://meet.google.com/Kreatywne-rozwiazania-w-marketingu-40
41,Zarzadzanie Czasem,Nasz zaawansowany webinar 'zarzadzanie czasem'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,220.7600,1,,2021-01-17 07:00:00.000,2021-01-17 09:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-Czasem-41,https://meet.google.com/Zarzadzanie-Czasem-41
42,Zarzadzanie jakoscia,Nasz skuteczny webinar 'zarzadzanie jakoscia'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,149.8400,1,,2021-01-17 09:45:00.000,2021-01-17 11:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-jakoscia-42,https://meet.google.com/Zarzadzanie-jakoscia-42
43,Budowanie Zespolu,Nasz skuteczny webinar 'budowanie zespolu'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,99,237.7500,4,663,2021-01-17 20:45:00.000,2021-01-17 22:00:00.000,https://www.webinaries-videos.com/watch?v=Budowanie-Zespolu-43,https://meet.google.com/Budowanie-Zespolu-43
44,Zarzadzanie projektami kulturalnymi,Nasz skuteczny webinar 'zarzadzanie projektami kulturalnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,192.7500,1,,2021-01-18 07:00:00.000,2021-01-18 09:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-kulturalnymi-44,https://meet.google.com/Zarzadzanie-projektami-kulturalnymi-44
45,Zarzadzanie projektami zdrowotnymi,Nasz praktyczny webinar 'zarzadzanie projektami zdrowotnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,99,,1,,2021-01-18 12:15:00.000,2021-01-18 14:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-zdrowotnymi-45,https://meet.google.com/Zarzadzanie-projektami-zdrowotnymi-45
46,Zarzadzanie projektami wojskowymi,Nasz kompleksowy webinar 'zarzadzanie projektami wojskowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,1155,196.9800,1,,2021-01-18 18:45:00.000,2021-01-18 20:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-wojskowymi-46,https://meet.google.com/Zarzadzanie-projektami-wojskowymi-46
47,Zarzadzanie projektami transportowymi,Nasz strategiczny webinar 'zarzadzanie projektami transportowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,817,153.7500,1,,2021-01-18 19:30:00.000,2021-01-18 20:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-transportowymi-47,https://meet.google.com/Zarzadzanie-projektami-transportowymi-47
48,Zarzadzanie projektami rolniczymi,Nasz praktyczny webinar 'zarzadzanie projektami rolniczymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,99,177.2600,1,,2021-01-18 21:00:00.000,2021-01-18 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-rolniczymi-48,https://meet.google.com/Zarzadzanie-projektami-rolniczymi-48
49,Innowacje w biznesie,Nasz innowacyjny webinar 'innowacje w biznesie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,98.2400,1,,2021-01-20 07:00:00.000,2021-01-20 08:15:00.000,https://www.webinaries-videos.com/watch?v=Innowacje-w-biznesie-49,https://meet.google.com/Innowacje-w-biznesie-49
50,Zarzadzanie projektami inwestycyjnymi,Nasz zaawansowany webinar 'zarzadzanie projektami inwestycyjnymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,99,134.2300,1,,2021-01-20 07:00:00.000,2021-01-20 09:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-inwestycyjnymi-50,https://meet.google.com/Zarzadzanie-projektami-inwestycyjnymi-50
51,Zarzadzanie projektami rolniczymi,Nasz strategiczny webinar 'zarzadzanie projektami rolniczymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,245,,1,,2021-01-20 21:30:00.000,2021-01-20 22:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-rolniczymi-51,https://meet.google.com/Zarzadzanie-projektami-rolniczymi-51
52,Zarzadzanie konfliktami,Nasz praktyczny webinar 'zarzadzanie konfliktami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,126,58.9900,1,,2021-01-21 21:00:00.000,2021-01-21 22:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-konfliktami-52,https://meet.google.com/Zarzadzanie-konfliktami-52
53,Marketing,Nasz skuteczny webinar 'marketing'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,232.5600,7,352,2021-01-21 21:00:00.000,2021-01-21 22:00:00.000,https://www.webinaries-videos.com/watch?v=Marketing-53,https://meet.google.com/Marketing-53
54,Praktyczne wskazówki dla przedsiebiorców,Nasz praktyczny webinar 'praktyczne wskazówki dla przedsiebiorców'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,136.7800,1,,2021-01-22 13:45:00.000,2021-01-22 14:45:00.000,https://www.webinaries-videos.com/watch?v=Praktyczne-wskazówki-dla-przedsiebiorców-54,https://meet.google.com/Praktyczne-wskazówki-dla-przedsiebiorców-54
55,Wystapienia Publiczne,Nasz strategiczny webinar 'wystapienia publiczne'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,152.5200,1,,2021-01-23 21:00:00.000,2021-01-23 22:00:00.000,https://www.webinaries-videos.com/watch?v=Wystapienia-Publiczne-55,https://meet.google.com/Wystapienia-Publiczne-55
56,Skuteczna organizacja pracy,Nasz dynamiczny webinar 'skuteczna organizacja pracy'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,514,175.7500,1,,2021-01-24 12:15:00.000,2021-01-24 13:30:00.000,https://www.webinaries-videos.com/watch?v=Skuteczna-organizacja-pracy-56,https://meet.google.com/Skuteczna-organizacja-pracy-56
57,Zarzadzanie projektami turystycznymi,Nasz praktyczny webinar 'zarzadzanie projektami turystycznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,642,106.4200,1,,2021-01-25 15:00:00.000,2021-01-25 17:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-turystycznymi-57,https://meet.google.com/Zarzadzanie-projektami-turystycznymi-57
58,Techniki sprzedazy produktów w IT,Nasz strategiczny webinar 'techniki sprzedazy produktów w it'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,982,69.1900,1,,2021-01-26 07:00:00.000,2021-01-26 08:30:00.000,https://www.webinaries-videos.com/watch?v=Techniki-sprzedazy-produktów-w-IT-58,https://meet.google.com/Techniki-sprzedazy-produktów-w-IT-58
59,Skuteczna organizacja pracy,Nasz zaawansowany webinar 'skuteczna organizacja pracy'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,750,295.4100,1,,2021-01-27 07:00:00.000,2021-01-27 08:15:00.000,https://www.webinaries-videos.com/watch?v=Skuteczna-organizacja-pracy-59,https://meet.google.com/Skuteczna-organizacja-pracy-59
60,Marketing,Nasz innowacyjny webinar 'marketing'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,126,77.1700,1,,2021-01-27 07:00:00.000,2021-01-27 08:30:00.000,https://www.webinaries-videos.com/watch?v=Marketing-60,https://meet.google.com/Marketing-60
61,Przywództwo,Nasz skuteczny webinar 'przywództwo'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,514,61.6500,4,663,2021-01-27 07:00:00.000,2021-01-27 09:30:00.000,https://www.webinaries-videos.com/watch?v=Przywództwo-61,https://meet.google.com/Przywództwo-61
62,Zarzadzanie relacjami z klientami,Nasz zaawansowany webinar 'zarzadzanie relacjami z klientami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,817,297.0200,5,822,2021-01-27 07:00:00.000,2021-01-27 08:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-relacjami-z-klientami-62,https://meet.google.com/Zarzadzanie-relacjami-z-klientami-62
63,Strategie rozwoju biznesu,Nasz zaawansowany webinar 'strategie rozwoju biznesu'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,1155,90.2200,1,,2021-01-27 09:15:00.000,2021-01-27 11:30:00.000,https://www.webinaries-videos.com/watch?v=Strategie-rozwoju-biznesu-63,https://meet.google.com/Strategie-rozwoju-biznesu-63
64,Zarzadzanie finansami,Nasz strategiczny webinar 'zarzadzanie finansami'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,207,74.2000,1,,2021-01-28 07:00:00.000,2021-01-28 08:45:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-finansami-64,https://meet.google.com/Zarzadzanie-finansami-64
65,Zarzadzanie projektami spolecznymi,Nasz strategiczny webinar 'zarzadzanie projektami spolecznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,221.1400,1,,2021-01-28 07:00:00.000,2021-01-28 08:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-spolecznymi-65,https://meet.google.com/Zarzadzanie-projektami-spolecznymi-65
66,Wystapienia Publiczne,Nasz strategiczny webinar 'wystapienia publiczne'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,121.1900,1,,2021-01-28 21:45:00.000,2021-01-29 00:15:00.000,https://www.webinaries-videos.com/watch?v=Wystapienia-Publiczne-66,https://meet.google.com/Wystapienia-Publiczne-66
67,Zarzadzanie projektami energetycznymi,Nasz innowacyjny webinar 'zarzadzanie projektami energetycznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,952,217.5300,7,469,2021-01-29 07:00:00.000,2021-01-29 08:15:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-energetycznymi-67,https://meet.google.com/Zarzadzanie-projektami-energetycznymi-67
68,Kreatywne myslenie,Nasz strategiczny webinar 'kreatywne myslenie'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,14,251.3600,1,,2021-01-29 12:45:00.000,2021-01-29 14:15:00.000,https://www.webinaries-videos.com/watch?v=Kreatywne-myslenie-68,https://meet.google.com/Kreatywne-myslenie-68
69,Zarzadzanie projektami wojskowymi,Nasz innowacyjny webinar 'zarzadzanie projektami wojskowymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,817,196.3700,4,663,2021-01-29 16:30:00.000,2021-01-29 18:00:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-wojskowymi-69,https://meet.google.com/Zarzadzanie-projektami-wojskowymi-69
70,Przygotowanie do egzaminów certyfikacyjn,Nasz skuteczny webinar 'przygotowanie do egzaminów certyfikacyjnych'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,99,158.3600,1,,2021-01-29 18:30:00.000,2021-01-29 21:00:00.000,https://www.webinaries-videos.com/watch?v=Przygotowanie-do-egzaminów-certyfikacyjnych-70,https://meet.google.com/Przygotowanie-do-egzaminów-certyfikacyjnych-70
71,Zarzadzanie projektami spolecznymi,Nasz kompleksowy webinar 'zarzadzanie projektami spolecznymi'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,157,85.5700,5,822,2021-01-29 19:30:00.000,2021-01-29 20:30:00.000,https://www.webinaries-videos.com/watch?v=Zarzadzanie-projektami-spolecznymi-71,https://meet.google.com/Zarzadzanie-projektami-spolecznymi-71
72,Umiejetnosci interpersonalne,Nasz strategiczny webinar 'umiejetnosci interpersonalne'. Dolacz aby rozwijac swoje umiejetnosci i byc na biezaco w dziedzinie.,977,222.8000,10,165,2021-01-29 21:00:00.000,2021-01-29 22:00:00.000,https://www.webinaries-videos.com/watch?v=Umiejetnosci-interpersonalne-72,https://meet.google.com/Umiejetnosci-interpersonalne-72
